Student_ID,Student_Name,Gender,Department,Attendance,Math_Score,Science_Score,English_Score,Final_Result
126,Student_126,Male,EEE,98,95,72,39,Pass
127,Student_127,Female,CIVIL,78,93,44,64,Pass
128,Student_128,Male,EEE,120,89,49,63,Fail
129,Student_129,Female,CIVIL,69,44,42,56,Fail
130,Student_130,Female,EEE,96,71,91,50,Pass
131,Student_131,Female,CSE,85,69,99,98,Pass
132,Student_132,Female,CSE,98,40,90,76,Pass
133,Student_133,Male,ECE,65,150,37,69,Fail
134,Student_134,Female,MECH,90,91,70,58,Pass
135,Student_135,Female,EEE,65,95,79,87,Fail
136,Student_136,Female,EEE,66,55,77,87,Fail
137,Student_137,Female,EEE,85,39,93,46,Pass
138,Student_138,Male,CIVIL,80,49,86,100,Pass
139,Student_139,Female,CIVIL,89,87,41,59,Pass
140,Student_140,Female,CIVIL,91,91,41,61,Pass
141,Student_141,Male,CSE,68,71,91,97,Fail
142,Student_142,Male,CIVIL,100,65,55,74,Pass
143,Student_143,Female,CSE,86,46,63,49,Pass
144,Student_144,Female,MECH,,98,72,100,Fail
145,Student_145,Male,MECH,90,95,66,93,Pass
146,Student_146,Female,MECH,72,100,52,43,Fail
147,Student_147,Female,EEE,81,99,69,35,Pass
148,Student_148,Female,EEE,97,97,54,92,Pass
149,Student_149,Male,ECE,81,83,93,76,Pass
150,Student_150,Male,EEE,96,84,64,87,Pass
151,Student_151,Female,CSE,90,83,84,54,Pass
152,Student_152,Female,CSE,68,99,77,47,Fail
153,Student_153,Female,ECE,93,93,36,53,Pass
154,Student_154,Female,CSE,64,95,68,78,Fail
155,Student_155,Male,CIVIL,81,83,75,97,Pass
156,Student_156,Mle,MECH,64,65,71,64,Fail
157,Student_157,Female,CSE,66,47,91,56,Fail
158,Student_158,Female,EEE,,76,42,72,Fail
159,Student_159,Male,ECE,87,53,66,87,Pass
160,Student_160,Female,CIVIL,71,45,83,65,Fail
161,Student_161,Female,EEE,69,64,94,67,Fail
162,Student_162,Male,MECH,60,94,71,55,Fail
163,Student_163,Female,EEE,82,73,89,67,Pass
164,Student_164,Male,MECH,72,84,96,48,Fail
165,Student_165,Male,MECH,96,80,72,72,Pass
166,Student_166,Female,ECE,77,36,41,98,Pass
167,Student_167,Female,ECE,98,80,63,59,Pass
168,Student_168,Female,CSE,100,47,40,74,Pass
169,Student_169,Female,EEE,97,81,51,46,Pass
170,Student_170,Female,CIVIL,86,57,60,51,Pass
171,Student_171,Female,EEE,92,69,56,67,Pass
172,Student_172,Male,ECE,81,49,94,44,Pass
173,Student_173,Male,EEE,85,81,46,85,Pass
174,Student_174,Female,CIVIL,94,50,93,82,Pass
175,Student_175,Female,CSE,84,82,48,64,Pass
176,Student_176,Female,EEE,99,76,63,43,Pass
177,Student_177,Male,EEE,86,49,52,40,Pass
178,Student_178,Male,MECH,91,49,47,65,Pass
179,Student_179,Female,CSE,89,82,88,54,Pass
180,Student_180,Female,ECE,91,87,70,39,Pass
181,Student_181,Male,EEE,88,91,65,81,Pass
182,Student_182,Female,ECE,94,80,42,85,Pass
183,Student_183,Male,CSE,67,93,46,62,Fail
184,Student_184,Male,CIVIL,81,66,51,61,Pass
185,Student_185,Male,CIVIL,73,62,64,77,Fail
186,Student_186,Female,ECE,60,70,53,51,Fail
187,Student_187,Female,ECE,67,38,51,36,Fail
188,Student_188,Female,CSE,97,76,37,57,Pass
189,Student_189,Female,MECH,68,88,49,43,Fail
190,Student_190,Male,CIVIL,83,100,48,92,Pass
191,Student_191,Male,MECH,62,-10,93,,Fail
192,Student_192,Female,CSE,85,89,48,97,Pass
193,Student_193,Male,EEE,65,76,53,,Fail
194,Student_194,Female,CIVIL,99,76,83,72,Pass
195,Student_195,Male,MECH,98,90,47,49,Pass
196,Student_196,Female,MECH,88,64,87,78,Pass
197,Student_197,Female,EEE,86,47,75,89,Pass
198,Student_198,Male,CSE,83,54,95,43,Pass
199,Student_199,Male,CIVIL,65,90,47,82,Fail
200,Student_200,Female,MECH,63,77,50,87,Fail
201,Student_201,Male,CIVIL,63,71,74,80,Fail
202,Student_202,Male,CSE,92,62,54,96,Pass
203,Student_203,Male,MECH,82,82,49,70,Pass
204,Student_204,Male,EEE,95,38,69,38,Pass
205,Student_205,Male,ECE,79,78,79,35,Pass
206,Student_206,Male,CSE,96,86,43,53,Pass
207,Student_207,Female,EEE,93,62,83,88,Pass
208,Student_208,Male,CSE,120,82,74,76,Fail
209,Student_209,Female,MECH,69,55,41,45,Fail
210,Student_210,Female,ECE,87,97,91,88,Pass
211,Student_211,Male,EEE,92,49,79,90,Pass
212,Student_212,Male,MECH,97,,74,40,Pass
213,Student_213,Female,ECE,98,42,35,61,Pass
214,Student_214,Male,CSE,68,67,72,76,Fail
215,Student_215,Female,CIVIL,91,,57,51,Pass
216,Student_216,Female,CSE,74,99,80,44,Fail
217,Student_217,Female,CIVIL,87,37,93,44,Pass
218,Student_218,Male,MECH,87,86,88,72,Pass
219,Student_219,Female,CSE,61,76,56,93,Fail
220,Student_220,Female,CIVIL,87,48,66,90,Pass
221,Student_221,Male,EEE,65,85,74,78,Fail
222,Student_222,Male,EEE,70,44,100,49,Fail
223,Student_223,Male,EEE,82,53,65,48,Pass
224,Student_224,Male,MECH,72,57,54,44,Fail
225,Student_225,Male,MECH,89,92,76,75,Pass
226,Student_226,Female,CIVIL,64,95,91,73,Fail
227,Student_227,Female,MECH,63,80,99,44,Fail
228,Student_228,Female,CSE,88,39,42,82,Pass
229,Student_229,Male,MECH,65,99,84,94,Fail
230,Student_230,Male,CSE,96,59,76,95,Pass
231,Student_231,Male,CSE,88,48,78,45,Pass
232,Student_232,Female,EEE,120,91,91,55,Pass
233,Student_233,Male,EEE,78,84,87,78,Pass
234,Student_234,Female,EEE,64,77,47,84,Fail
235,Student_235,Male,EEE,98,,77,45,Pass
236,Student_236,Female,CIVIL,79,85,51,45,Pass
237,Student_237,Female,CIVIL,84,77,51,46,Pass
238,Student_238,Male,ECE,83,37,81,74,Pass
239,Student_239,Male,ECE,81,97,59,63,Pass
240,Student_240,Male,EEE,64,72,47,99,Fail
241,Student_241,Male,ECE,99,51,83,54,Pass
242,Student_242,Female,EEE,99,56,91,40,Pass
243,Student_243,Male,CIVIL,75,91,71,92,Pass
244,Student_244,Female,CIVIL,75,74,95,59,Pass
245,Student_245,Female,ECE,88,94,71,83,Pass
246,Student_246,Female,EEE,72,52,67,41,Fail
247,Student_247,Male,ECE,95,48,50,71,Pass
248,Student_248,Female,CSE,77,92,100,53,Pass
249,Student_249,Female,CSE,74,92,79,38,Fail
250,Student_250,Female,CSE,85,99,82,65,Pass
251,Student_251,Male,EEE,83,63,38,75,Pass
252,Student_252,Female,ECE,69,,39,71,Fail
253,Student_253,Male,EEE,90,92,35,45,Pass
254,Student_254,Female,ECE,73,54,89,49,Fail
255,Student_255,Female,CIVIL,79,50,41,65,Pass
256,Student_256,Male,CIVIL,89,43,49,98,Pass
257,Student_257,Female,CSE,96,65,53,72,Pass
258,Student_258,Male,CSE,99,80,65,88,Pass
259,Student_259,,MECH,93,81,43,99,Pass
260,Student_260,Female,CSE,90,40,84,82,Pass
261,Student_261,Male,CIVIL,82,43,79,65,Pass
262,Student_262,Female,ECE,81,52,40,80,Pass
263,Student_263,Male,MECH,89,96,58,52,Pass
264,Student_264,Male,CSE,62,72,60,40,Fail
265,Student_265,Female,EEE,80,74,100,85,Pass
266,Student_266,Male,EEE,62,59,71,80,Fail
267,Student_267,Female,MECH,77,50,,90,Pass
268,Student_268,Female,EEE,84,78,58,98,Pass
269,Student_269,Male,MECH,93,69,45,89,Pass
270,Student_270,Male,CSE,98,58,72,76,Pass
271,Student_271,Female,ECE,80,72,74,92,Pass
272,Student_272,Female,CIVIL,88,,92,40,Pass
273,Student_273,Female,EEE,87,70,42,44,Pass
274,Student_274,Female,CSE,92,55,38,53,Pass
275,Student_275,Female,MECH,68,43,65,81,Fail
276,Student_276,Female,EEE,96,39,54,92,Pass
277,Student_277,Female,EEE,88,44,52,81,Pass
278,Student_278,Male,MECH,77,66,49,38,Pass
279,Student_279,Female,MECH,93,84,50,68,Pass
280,Student_280,Male,ECE,73,71,97,60,Fail
281,Student_281,Male,EEE,64,92,57,91,Fail
282,Student_282,Male,ECE,120,43,72,73,Pass
283,Student_283,Male,ECE,83,100,63,50,Pass
284,Student_284,Female,MECH,75,98,38,81,Pass
285,Student_285,Female,MECH,120,51,46,43,Pass
286,Student_286,Male,EEE,90,87,87,44,Pass
287,Student_287,Male,CIVIL,64,92,94,79,Fail
288,Student_288,Male,CSE,100,58,51,90,Pass
289,Student_289,Male,EEE,93,54,73,56,Pass
290,Student_290,Female,ECE,74,79,71,45,Fail
291,Student_291,Male,CIVIL,100,70,51,73,Pass
292,Student_292,Male,CSE,70,54,56,78,Fail
293,Student_293,Female,CIVIL,65,40,68,61,Fail
294,Student_294,Female,MECH,100,38,98,72,Pass
295,Student_295,Male,CSE,75,86,73,93,Pass
296,Student_296,Female,ECE,70,91,88,96,Fail
297,Student_297,Female,MECH,81,53,75,75,Pass
298,Student_298,Female,ECE,68,82,,48,Fail
299,Student_299,Male,ECE,89,-10,69,92,Pass
300,Student_300,Female,ECE,66,41,72,84,Fail
301,Student_301,Male,MECH,70,-10,75,59,Fail
302,Student_302,Female,CSE,92,94,98,74,Pass
303,Student_303,Male,ECE,65,85,99,93,Fail
304,Student_304,Female,MECH,97,80,41,41,Pass
305,Student_305,Male,MECH,98,95,71,36,Pass
306,Student_306,Female,CSE,68,68,81,86,Fail
307,Student_307,Female,CSE,85,41,59,81,Pass
308,Student_308,Male,ECE,84,99,92,70,Pass
309,Student_309,Mle,ECE,66,85,82,78,Fail
310,Student_310,Male,CSE,72,100,86,99,Fail
311,Student_311,Female,ECE,62,52,77,95,Fail
312,Student_312,Female,ECE,98,100,52,76,Pass
313,Student_313,Female,CIVIL,85,73,78,99,Pass
314,Student_314,Female,CSE,79,95,37,82,Pass
315,Student_315,Female,CIVIL,86,74,38,95,Pass
316,Student_316,Male,CIVIL,96,64,41,96,Pass
317,Student_317,Male,CIVIL,100,83,53,66,Pass
318,Student_318,Female,MECH,67,59,37,91,Fail
319,Student_319,Female,CSE,69,87,61,87,Fail
320,Student_320,Female,EEE,68,61,76,96,Fail
321,Student_321,Female,CIVIL,71,93,78,80,Fail
322,Student_322,Female,ECE,90,59,66,70,Pass
323,Student_323,Female,MECH,79,-10,61,97,Pass
324,Student_324,Female,MECH,82,70,71,50,Pass
325,Student_325,Female,CSE,82,53,72,40,Pass
326,Student_326,Male,ECE,82,91,67,96,Pass
327,Student_327,Male,CIVIL,,69,69,52,Pass
328,Student_328,Male,ECE,97,65,66,41,Pass
329,Student_329,Female,CSE,63,47,87,77,Fail
330,Student_330,Female,MECH,68,35,55,87,Fail
331,Student_331,Male,CSE,72,Ninety,76,71,Fail
332,Student_332,Female,ECE,96,64,39,57,Pass
333,Student_333,Female,CSE,62,85,98,58,Fail
334,Student_334,Female,MECH,60,73,48,77,Fail
335,Student_335,Female,EEE,94,98,52,99,Pass
336,Student_336,Female,EEE,72,49,77,55,Fail
337,Student_337,Male,ECE,71,36,78,,Fail
338,Student_338,Female,CSE,99,86,89,100,Pass
339,Student_339,Female,EEE,85,47,58,52,Pass
340,Student_340,Male,MECH,75,35,68,84,Pass
341,Student_341,Female,EEE,77,77,73,36,Pass
342,Student_342,Female,ECE,75,42,50,94,Pass
343,Student_343,Female,EEE,85,99,74,50,Pass
344,Student_344,Female,ECE,99,63,63,52,Pass
345,Student_345,Male,ECE,89,82,88,95,Pass
346,Student_346,Male,CIVIL,98,45,92,81,Pass
347,Student_347,Male,ECE,67,42,99,60,Fail
348,Student_348,Female,CSE,80,91,49,61,Pass
349,Student_349,Male,CIVIL,92,92,42,93,Pass
350,Student_350,Female,CSE,86,93,42,94,Pass
351,Student_351,Male,CSE,85,67,35,62,Pass
352,Student_352,Femle,MECH,87,-10,43,42,Pass
353,Student_353,Male,MECH,62,71,87,58,Fail
354,Student_354,Female,CSE,83,83,92,83,Pass
355,Student_355,Male,CIVIL,94,52,79,50,Pass
356,Student_356,Male,EEE,85,51,63,35,Pass
357,Student_357,FEMALE ,MECH,89,89,83,64,Pass
358,Student_358,Male,CSE,82,54,70,59,Pass
359,Student_359,Male,CSE,86,37,,61,Pass
360,Student_360,Male,CSE,98,39,92,41,Pass
361,Student_361, male ,ECE,85,91,64,62,Pass
362,Student_362,Female,ECE,92,72,64,75,Pass
363,Student_363,Female,EEE,79,53,63,87,Pass
364,Student_364,Male,EEE,63,57,89,98,Fail
365,Student_365,Male,EEE,,75,88,87,Pass
366,Student_366,Male,EEE,84,58,95,65,Pass
367,Student_367,Female,CIVIL,69,94,42,87,Fail
368,Student_368,Female,ECE,93,52,84,66,Pass
369,Student_369,Male,CIVIL,81,45,92,82,Pass
370,Student_370,Male,CSE,72,41,69,83,Fail
371,Student_371,Female,EEE,72,62,96,61,Fail
372,Student_372,Female,ECE,60,62,59,50,Fail
373,Student_373,Female,EEE,,61,85,65,Pass
374,Student_374,Female,EEE,84,94,80,74,Pass
375,Student_375,Female,EEE,92,98,94,47,Pass
376,Student_376,Male,CIVIL,73,82,75,87,Fail
377,Student_377,Female,EEE,74,53,37,68,Fail
378,Student_378,Female,CIVIL,69,60,,64,Fail
379,Student_379,Female,MECH,75,98,78,67,Pass
380,Student_380,Male,CIVIL,89,56,80,56,Pass
381,Student_381,Male,CSE,91,58,42,39,Pass
382,Student_382,Male,ECE,60,87,52,64,Fail
383,Student_383,Female,CSE,60,62,,93,Fail
384,Student_384,Male,CIVIL,120,96,97,37,Pass
385,Student_385,Female,CIVIL,95,87,36,37,Pass
386,Student_386,Male,CSE,78,37,99,90,Pass
387,Student_387,Female,EEE,66,54,65,59,Fail
388,Student_388,Female,MECH,77,85,45,82,Pass
389,Student_389,,CSE,96,66,63,73,Pass
390,Student_390,Female,CSE,65,86,83,83,Fail
391,Student_391,Female,MECH,100,36,56,45,Pass
392,Student_392,Male,CIVIL,81,47,40,64,Pass
393,Student_393,Female,CIVIL,90,69,40,44,Pass
394,Student_394,Male,ECE,96,39,57,75,Pass
395,Student_395,Female,ECE,97,53,85,44,Pass
396,Student_396,Female,ECE,96,65,84,77,Pass
397,Student_397,Male,MECH,65,99,79,41,Fail
398,Student_398,Female,CSE,74,44,78,85,Fail
399,Student_399,Male,EEE,100,69,92,97,Pass
400,Student_400,Female,CSE,95,83,90,58,Pass
401,Student_401,Male,EEE,99,72,66,44,Pass
402,Student_402,Female,EEE,69,83,54,84,Fail
403,Student_403,Female,EEE,66,46,35,74,Fail
404,Student_404,Male,MECH,77,48,51,46,Pass
405,Student_405,Male,CSE,88,100,87,48,Pass
406,Student_406,Male,EEE,82,46,76,84,Pass
407,Student_407,Male,MECH,86,84,45,66,Pass
408,Student_408,Female,MECH,70,52,69,73,Fail
409,Student_409,Female,MECH,69,43,56,90,Fail
410,Student_410,Female,ECE,79,96,44,81,Pass
411,Student_411,Male,ECE,100,98,60,93,Pass
412,Student_412,Female,EEE,79,35,85,77,Pass
413,Student_413,Female,EEE,88,77,90,52,Pass
414,Student_414, male ,MECH,98,60,96,75,Pass
415,Student_415,Female,MECH,80,72,97,66,Pass
416,Student_416,Male,CIVIL,77,85,81,49,Pass
417,Student_417,Male,MECH,94,58,38,94,Pass
418,Student_418,Male,EEE,78,43,87,98,Pass
419,Student_419,Female,CSE,75,67,54,89,Pass
420,Student_420,Female,CIVIL,88,96,86,99,Pass
421,Student_421,Male,EEE,62,81,45,48,Fail
422,Student_422,Female,CSE,70,40,86,77,Fail
423,Student_423,Male,MECH,60,47,68,63,Fail
424,Student_424,Femle,EEE,83,85,94,99,Pass
425,Student_425,Female,CSE,61,96,48,72,Fail
426,Student_426,Female,MECH,67,53,79,74,Fail
427,Student_427,Male,MECH,73,96,79,95,Fail
428,Student_428,Femle,CSE,88,75,43,73,Pass
429,Student_429,Male,CIVIL,61,78,48,56,Fail
430,Student_430,Female,ECE,71,55,77,89,Fail
431,Student_431,Female,CSE,85,58,58,90,Pass
432,Student_432,Female,CSE,99,60,92,89,Pass
433,Student_433,Male,CIVIL,73,61,,43,Fail
434,Student_434,Female,CSE,71,81,76,60,Fail
435,Student_435,,CIVIL,76,97,75,84,Pass
436,Student_436,Male,EEE,67,79,80,93,Fail
437,Student_437,Male,ECE,99,45,52,75,Pass
438,Student_438,Male,CIVIL,120,49,58,82,Pass
439,Student_439,Female,ECE,84,88,52,84,Pass
440,Student_440,Female,ECE,91,57,56,97,Pass
441,Student_441,Female,CSE,71,75,92,41,Fail
442,Student_442,Female,MECH,91,52,59,84,Pass
443,Student_443,Male,CSE,91,88,91,97,Pass
444,Student_444,Male,EEE,96,38,63,72,Pass
445,Student_445,Female,CIVIL,74,71,56,93,Fail
446,Student_446,Female,CIVIL,92,49,49,69,Pass
447,Student_447,Male,ECE,62,91,62,89,Fail
448,Student_448,Female,CSE,79,39,92,68,Pass
449,Student_449,Female,CIVIL,88,50,65,61,Pass
450,Student_450,Male,ECE,100,89,56,52,Pass
451,Student_451,Female,EEE,63,79,70,56,Fail
452,Student_452,Male,MECH,78,69,100,47,Pass
453,Student_453,Male,ECE,63,70,51,51,Fail
454,Student_454,Male,CIVIL,80,66,85,97,Pass
455,Student_455,Female,CSE,100,69,88,83,Pass
456,Student_456,Female,EEE,100,46,86,100,Pass
457,Student_457,Male,MECH,89,97,76,35,Pass
458,Student_458,Male,MECH,100,80,43,85,Pass
459,Student_459,,EEE,73,98,69,76,Fail
460,Student_460,Male,CSE,,51,97,78,Pass
461,Student_461,Male,MECH,66,93,37,50,Fail
462,Student_462,Male,EEE,89,35,89,60,Pass
463,Student_463,Female,CSE,70,70,46,81,Fail
464,Student_464,Female,ECE,83,56,41,85,Pass
465,Student_465,Male,MECH,87,46,47,35,Pass
466,Student_466,Male,CSE,64,51,63,91,Fail
467,Student_467,Female,CSE,81,50,89,51,Pass
468,Student_468,Male,EEE,74,84,46,48,Fail
469,Student_469,Male,ECE,83,73,52,83,Pass
470,Student_470,Female,ECE,64,-10,56,91,Fail
471,Student_471,Male,CSE,100,54,87,91,Pass
472,Student_472,Female,MECH,,52,50,84,Fail
473,Student_473,Male,ECE,80,52,66,70,Pass
474,Student_474,Male,CIVIL,95,71,38,73,Pass
475,Student_475,Female,CSE,98,100,59,85,Pass
476,Student_476,Male,MECH,75,98,84,49,Pass
477,Student_477,Female,ECE,100,44,36,81,Pass
478,Student_478,Female,CSE,84,88,81,57,Pass
479,Student_479,Male,CSE,61,43,36,68,Fail
480,Student_480,Female,MECH,63,85,99,71,Fail
481,Student_481,Male,EEE,85,-10,54,70,Pass
482,Student_482,Female,MECH,65,100,61,54,Fail
483,Student_483,Male,CSE,97,43,74,90,Pass
484,Student_484,Female,CIVIL,75,46,90,49,Pass
485,Student_485,Male,CSE,98,42,74,57,Pass
486,Student_486,Female,CIVIL,68,36,55,98,Fail
487,Student_487,Male,EEE,93,68,56,82,Pass
488,Student_488,Female,CIVIL,120,38,77,89,Fail
489,Student_489,Female,CIVIL,64,68,44,98,Fail
490,Student_490,Female,ECE,83,42,98,56,Pass
491,Student_491,Male,CSE,76,48,49,64,Pass
492,Student_492,Female,MECH,60,66,40,95,Fail
493,Student_493,Male,EEE,69,57,,88,Fail
494,Student_494,Male,CIVIL,75,88,75,69,Pass
495,Student_495,Male,ECE,83,50,99,41,Pass
496,Student_496,Female,EEE,93,40,86,43,Pass
497,Student_497,Male,EEE,79,76,46,93,Pass
498,Student_498,Female,EEE,,72,73,66,Fail
499,Student_499,Male,CSE,,98,60,66,Pass
500,Student_500,Male,EEE,86,38,64,79,Pass
22,Student_022,Male,CIVIL,98,60,54,82,Pass
483,Student_483,Male,CSE,97,43,74,90,Pass
237,Student_237,Female,CIVIL,84,77,51,46,Pass
26,Student_026,Male,CIVIL,90,56,68,89,Pass
87,Student_087,Male,EEE,84,37,83,96,Pass
474,Student_474,Male,CIVIL,95,71,38,73,Pass
294,Student_294,Female,MECH,100,38,98,72,Pass
222,Student_222,Male,EEE,70,44,100,49,Fail
421,Student_421,Male,EEE,62,81,45,48,Fail
371,Student_371,Female,EEE,72,62,96,61,Fail
203,Student_203,Male,MECH,82,82,49,70,Pass
255,Student_255,Female,CIVIL,79,50,41,65,Pass
16,Student_016,Male,CIVIL,-5,86,81,63,Pass
196,Student_196,Female,MECH,88,64,87,78,Pass
350,Student_350,Female,CSE,86,93,42,94,Pass
219,Student_219,Female,CSE,61,76,56,93,Fail
89,Student_089,Female,EEE,77,90,97,38,Pass
182,Student_182,Female,ECE,94,80,42,85,Pass
110,Student_110,Female,ECE,61,46,72,63,Fail
466,Student_466,Male,CSE,64,51,63,91,Fail
